 number of blocks                 500
 number of per block                1
 output frequency                   1
 temperature               0.00006967
 Nose-Hoover                F
 Maximum single part. disp.  0.440000
 
 Quantum Langevin dyn. with PIOUD integrator
 
 *************************************
 PIOUD integrator parameters
 time step = 0.4400000000000000
 friction (gamma) = 4.440000000000000E-02
 delta0 = 0.000000000000000E+00
 second order Trotter beakup
 Quantum MD: Path integral Langevin!!!!
 Generalized dynamics in the bead eigenmodes
 delta0k, delta0q = 1.000000000000000 0.000000000000000E+00
  Warning  delta_0 >= dt !!! Changed to  0.4400000000000000
 *************************************
 initial potential =    -37.2063


 start of dynamics 




1)block   2)nmove   3)H   4)H_Nosé   5)E_pot   6)E_kin   7)Temp(Ha)   8)Temp(K)   9)quantum_kin_virial   10)quantum_kin_primitive  
   149     1  -36.38729       0.000000      -37.25256      0.8652652      0.7041546E-04   22.23544      0.1027098      0.1140979    
   150     1  -36.39385       0.000000      -37.25054      0.8566874      0.6971740E-04   22.01501      0.1035011      0.1094152    
   151     1  -36.39516       0.000000      -37.24895      0.8537807      0.6948085E-04   21.94032      0.1041852      0.1081531    
   152     1  -36.38263       0.000000      -37.24815      0.8655184      0.7043607E-04   22.24195      0.1035954      0.1084779    
   153     1  -36.39181       0.000000      -37.24737      0.8555599      0.6962564E-04   21.98604      0.1037272      0.1105257    
   154     1  -36.38970       0.000000      -37.24586      0.8561587      0.6967437E-04   22.00143      0.1051631      0.1075752    
   155     1  -36.38161       0.000000      -37.24598      0.8643743      0.7034296E-04   22.21255      0.1059019      0.1025818    
   156     1  -36.38805       0.000000      -37.24719      0.8591407      0.6991705E-04   22.07806      0.1052581      0.9963574E-01
   157     1  -36.38876       0.000000      -37.24742      0.8586558      0.6987759E-04   22.06560      0.1016815      0.1015757    
   158     1  -36.38785       0.000000      -37.24754      0.8596875      0.6996155E-04   22.09211      0.9687232E-01  0.1053868    
   159     1  -36.38700       0.000000      -37.24613      0.8591371      0.6991676E-04   22.07797      0.9311608E-01  0.1063368    
   160     1  -36.40538       0.000000      -37.24533      0.8399546      0.6835568E-04   21.58502      0.9111990E-01  0.1080726    
   161     1  -36.39375       0.000000      -37.24795      0.8542052      0.6951540E-04   21.95123      0.8812316E-01  0.1124616    
   162     1  -36.39466       0.000000      -37.25110      0.8564386      0.6969715E-04   22.00862      0.8827923E-01  0.1088011    
   163     1  -36.39672       0.000000      -37.25126      0.8545368      0.6954238E-04   21.95975      0.8868999E-01  0.1050245    
   164     1  -36.40080       0.000000      -37.25121      0.8504038      0.6920604E-04   21.85354      0.8945410E-01  0.9817493E-01
   165     1  -36.38835       0.000000      -37.25140      0.8630448      0.7023476E-04   22.17838      0.8953537E-01  0.9418210E-01
   166     1  -36.38655       0.000000      -37.24928      0.8627360      0.7020964E-04   22.17045      0.9236804E-01  0.9442244E-01
   167     1  -36.39099       0.000000      -37.24799      0.8570009      0.6974291E-04   22.02307      0.9718653E-01  0.9567167E-01
   168     1  -36.40198       0.000000      -37.24835      0.8463730      0.6887801E-04   21.74996      0.1007043      0.9671285E-01
   169     1  -36.39356       0.000000      -37.25124      0.8576791      0.6979810E-04   22.04050      0.1024064      0.9591560E-01
   170     1  -36.39370       0.000000      -37.25231      0.8586094      0.6987381E-04   22.06441      0.1033963      0.9443668E-01
   171     1  -36.39641       0.000000      -37.25251      0.8561007      0.6966965E-04   21.99994      0.1033168      0.9380610E-01
   172     1  -36.38954       0.000000      -37.25210      0.8625649      0.7019571E-04   22.16605      0.1022184      0.9747021E-01
   173     1  -36.39335       0.000000      -37.25192      0.8585682      0.6987046E-04   22.06335      0.1011627      0.1023335    
   174     1  -36.38569       0.000000      -37.25120      0.8655100      0.7043538E-04   22.24173      0.9928795E-01  0.1064509    
   175     1  -36.39319       0.000000      -37.25038      0.8571955      0.6975875E-04   22.02807      0.9335231E-01  0.1077355    
   176     1  -36.39770       0.000000      -37.24929      0.8515985      0.6930326E-04   21.88424      0.8563373E-01  0.1078822    
   177     1  -36.39171       0.000000      -37.24969      0.8579799      0.6982259E-04   22.04823      0.7968995E-01  0.1073632    
   178     1  -36.39922       0.000000      -37.24964      0.8504251      0.6920777E-04   21.85409      0.7689837E-01  0.1053158    
   179     1  -36.41001       0.000000      -37.24940      0.8393908      0.6830980E-04   21.57053      0.7571846E-01  0.1081467    
   180     1  -36.39759       0.000000      -37.24949      0.8519052      0.6932822E-04   21.89212      0.7650383E-01  0.1105500    
   181     1  -36.38446       0.000000      -37.25036      0.8658905      0.7046635E-04   22.25151      0.7855642E-01  0.1084154    
   182     1  -36.39187       0.000000      -37.25113      0.8592600      0.6992675E-04   22.08112      0.8395086E-01  0.1038813    
   183     1  -36.40130       0.000000      -37.25161      0.8503100      0.6919841E-04   21.85113      0.9080230E-01  0.1001621    
   184     1  -36.40629       0.000000      -37.25231      0.8460163      0.6884898E-04   21.74079      0.1017963      0.1006915    
   185     1  -36.40174       0.000000      -37.25272      0.8509850      0.6925333E-04   21.86847      0.1116010      0.1030418    
   186     1  -36.39979       0.000000      -37.25338      0.8535906      0.6946538E-04   21.93543      0.1176676      0.1065352    
   187     1  -36.39456       0.000000      -37.25317      0.8586102      0.6987387E-04   22.06442      0.1167784      0.1091197    
   188     1  -36.39852       0.000000      -37.25230      0.8537768      0.6948053E-04   21.94022      0.1135405      0.1076842    
   189     1  -36.40265       0.000000      -37.25127      0.8486178      0.6906069E-04   21.80764      0.1078517      0.1068500    
   190     1  -36.41959       0.000000      -37.25012      0.8305277      0.6758851E-04   21.34276      0.1012874      0.1026452    
   191     1  -36.40188       0.000000      -37.24947      0.8475813      0.6897634E-04   21.78101      0.9401075E-01  0.9940038E-01
   192     1  -36.40358       0.000000      -37.25026      0.8466823      0.6890318E-04   21.75790      0.8844106E-01  0.9727536E-01
   193     1  -36.39533       0.000000      -37.25064      0.8553088      0.6960521E-04   21.97959      0.8333385E-01  0.9598642E-01
   194     1  -36.38875       0.000000      -37.25160      0.8628522      0.7021909E-04   22.17343      0.7929765E-01  0.9725612E-01
   195     1  -36.39052       0.000000      -37.25171      0.8611889      0.7008373E-04   22.13069      0.7801243E-01  0.9162578E-01
   196     1  -36.40837       0.000000      -37.25177      0.8433973      0.6863585E-04   21.67349      0.7900267E-01  0.8682082E-01
   197     1  -36.40122       0.000000      -37.25264      0.8514189      0.6928865E-04   21.87962      0.8137188E-01  0.8864041E-01
   198     1  -36.39541       0.000000      -37.25170      0.8562894      0.6968501E-04   22.00479      0.8679522E-01  0.9543455E-01
   199     1  -36.41547       0.000000      -37.25014      0.8346643      0.6792515E-04   21.44907      0.9298549E-01  0.9896806E-01
   200     1  -36.39243       0.000000      -37.25030      0.8578673      0.6981342E-04   22.04533      0.9629213E-01  0.1056386    
   201     1  -36.39870       0.000000      -37.25064      0.8519462      0.6933156E-04   21.89318      0.9919908E-01  0.1101093    
   202     1  -36.39032       0.000000      -37.24890      0.8585804      0.6987145E-04   22.06366      0.1019948      0.1162512    
   203     1  -36.39180       0.000000      -37.24689      0.8550894      0.6958735E-04   21.97395      0.1052704      0.1185337    
   204     1  -36.39946       0.000000      -37.24664      0.8471851      0.6894410E-04   21.77083      0.1094387      0.1113854    
   205     1  -36.40079       0.000000      -37.24811      0.8473254      0.6895552E-04   21.77443      0.1137042      0.1029540    
   206     1  -36.40679       0.000000      -37.24863      0.8418467      0.6850966E-04   21.63364      0.1154254      0.9850833E-01
   207     1  -36.39435       0.000000      -37.24963      0.8552839      0.6960318E-04   21.97895      0.1146909      0.1003531    
   208     1  -36.40291       0.000000      -37.24959      0.8466853      0.6890343E-04   21.75798      0.1110446      0.1015285    
   209     1  -36.40605       0.000000      -37.24985      0.8437922      0.6866799E-04   21.68364      0.1055133      0.9966220E-01
